Group_ID,Light_Treatment_Population_white_eyed_Female,Light_Treatment_Population_wild_type_Female,Light_Treatment_Population_white_eyed_Male,Light_Treatment_Population_wild_type_Male,Light_Treatment_Frequency_for_white_eyed_Allele,Dark_Treatment_Population_white_eyed_Female,Dark_Treatment_Population_wild_type_Female,Dark_Treatment_Population_white_eyed_Male,Dark_Treatment_Population_wild_type_Male,Dark_Treatment_Frequency_for_white_eyed_Allele,Reporting_Year,Chron Order
F22_41,0,20,4,16,0.20,3,17,5,15,0.25,F22,F22_F22_41
F22_42,2,15,5,18,0.22,,,,,,F22,F22_F22_42
F22_43,20,0,20,0,1.00,12,8,17,3,0.85,F22,F22_F22_43
F22_44,2,18,11,9,0.55,7,13,12,8,0.60,F22,F22_F22_44
F22_60,15,5,18,2,0.90,4,16,12,8,0.60,F22,F22_F22_60
F22_61,9,11,17,3,0.85,14,6,14,6,0.70,F22,F22_F22_61
F22_62,3,11,7,13,0.35,2,10,8,11,0.42,F22,F22_F22_62
F22_63,8,12,9,11,0.45,9,11,6,14,0.30,F22,F22_F22_63
F22_64,9,11,15,5,0.75,2,18,11,9,0.55,F22,F22_F22_64
F22_65,0,8,5,5,0.50,16,4,10,10,0.50,F22,F22_F22_65
F22_70,15,5,18,2,0.90,1,19,13,7,0.65,F22,F22_F22_70
F22_71,8,12,12,8,0.60,3,6,8,7,0.53,F22,F22_F22_71
F22_72,3,17,13,7,0.65,4,16,10,10,0.50,F22,F22_F22_72
F22_73,3,17,10,10,0.50,4,16,7,13,0.35,F22,F22_F22_73
F22_80,4,16,10,10,0.50,4,16,7,13,0.35,F22,F22_F22_80
F22_81,5,15,6,14,0.30,14,6,13,7,0.65,F22,F22_F22_81
F22_82,13,7,14,6,0.70,11,9,14,6,0.70,F22,F22_F22_82
F22_83,0,20,7,13,0.35,0,20,11,9,0.55,F22,F22_F22_83
F22_90,10,10,6,14,0.30,6,14,11,9,0.55,F22,F22_F22_90
F22_91,4,16,3,17,0.15,5,15,14,6,0.70,F22,F22_F22_91
F22_92,0,20,12,8,0.60,12,8,16,4,0.80,F22,F22_F22_92
F22_93,15,5,17,3,0.85,0,20,1,19,0.05,F22,F22_F22_93
F22_94,8,12,6,14,0.30,20,0,20,0,1.00,F22,F22_F22_94
F22_95,13,7,16,4,0.80,8,12,10,10,0.50,F22,F22_F22_95
F22_100,0,12,3,6,0.33,2,18,11,9,0.55,F22,F22_F22_100
F22_101,,,,,,8,12,7,13,0.35,F22,F22_F22_101
F22_102,4,16,6,14,0.30,7,13,11,9,0.55,F22,F22_F22_102
F22_103,4,16,6,14,0.30,7,13,11,9,0.55,F22,F22_F22_103
F22_200,1,19,14,6,0.70,6,14,10,10,0.50,F22,F22_F22_200
F22_201,2,18,7,13,0.35,12,8,13,7,0.65,F22,F22_F22_201
F22_202,7,13,8,12,0.40,6,14,5,15,0.25,F22,F22_F22_202
F22_203,4,16,9,11,0.45,7,13,9,11,0.45,F22,F22_F22_203
F22_206,5,15,14,6,0.70,20,0,20,0,1.00,F22,F22_F22_206
F22_301,5,15,8,12,0.40,3,17,11,3,0.79,F22,F22_F22_301
F22_303,2,18,8,12,0.40,6,14,12,8,0.60,F22,F22_F22_303
F22_304,3,17,14,6,0.70,8,12,11,9,0.55,F22,F22_F22_304
F22_400,1,19,7,13,0.35,6,7,8,6,0.57,F22,F22_F22_400
F22_401,5,15,14,6,0.70,0,20,9,11,0.45,F22,F22_F22_401
